last_updated_datetime,message_type,partner_name,sender_id,receiver_id,shipment_number,message_status,response_message,comments,Control #,Event Code,carrier_id,equipment_number,inbound_teparentid,inbound_techildid,outbound_teparentid,outbound_techildid,outbound_message_status,ediservice_requestreceived_time,ediservice_messageid,replayed_messageid,inbound_filename,outbound_filename,replay_status,reference1,reference2
2026-06-29 10:53:47.371327,204 ,Penske Logistics- Fresenius Medical,GMCCA,PSKL,GMA00000008,TRANSLATED,,,,,,,c96a439b-b196-4529-ad58-15b97d711c0d,11529780-0baa-4257-91e3-80f39320c81c,,a72d127f-4659-4f4d-91be-ea28f5ea0a3d,PROCESSING,2026-06-29 10:53:47.371327,750049,,204_GMCCA_GMA00000008_20260629145341857,ZAUZKSO5UTG5MLO4BTXXSQFMJVFKAYPSA2UV7PIWT2K5AZO6UYQA,,,
2026-06-29 10:53:34.779372,204 ,Penske Logistics GMCCA,GMCCA,PSKL,GMA00000008,TRANSLATED,,,,,,,6ed887c1-54a9-4e31-9eb8-d189e79531f1,3771048c-685d-42e9-a952-49e290dd5ca7,,a72d127f-4659-4f4d-91be-ea28f5ea0a3d,PROCESSING,2026-06-29 10:53:34.779372,750048,,204_GMCCA_GMA00000008_20260629145308984,DF3NUUBHSA7FAN5PTW5LH64MSLSUWNY76ZQZZS3BJZOB4MPXE7ZA,,,
2026-06-29 10:48:45.308001,204 ,Penske Logistics- Fresenius Medical,GMCCA,PSKL,GMA00000008,TRANSLATED,,,,,,,bb5ec5ba-29c1-4a0d-b57d-094deb3b5db1,91c10041-08ce-40fa-b52a-cc3ed2bd771e,,5aa4f934-9c02-4a53-9506-2c49c4368e7a,PROCESSING,2026-06-29 10:48:45.308001,750040,,204_GMCCA_GMA00000008_20260629144839449,CW4LPOJLLGVYT2542D4TF5G2EYWBIWK6QQIZE2264XNQ4TOCBTKA,,,
2026-06-29 10:47:00.375202,204 ,PSKL,GMCCA,PSKL,GMA00000008,TRANSLATED,,,,,,,f450a722-b5c6-4d12-8ae4-a6fe2cfd7cd5,97b15fdd-0366-47bf-a1f8-d3c54a0659ac,,05f9b960-1107-4024-b880-18ff264f52f7,PROCESSING,2026-06-29 10:47:00.375202,750037,,204_GMCCA_GMA00000008_20260629144646151,DB4AQECL7OTN67UKNHWUHXLM7GFOKREJOP7WG6C6HHGOXPUXBCJA,,,
2026-06-29 10:45:09.356307,204,,GMCCA,PSKL,GMA00000008,PROCESSED,,,000387096,,,,4c1d7eb0-eed0-4d53-b4c8-36c83dffc162,2743bbef-4909-4321-a5f2-981b4e83e265,c2874bfa-d640-457d-8666-3d476196851d,857629bf-0eff-409c-96ab-3a8cdcf04a27,Y,2026-06-29 10:44:03.368917,750033,,204_GMCCA_GMA00000008_20260629142744116,GMCCA_204_2026-06-29.edi,,,
2026-06-29 10:41:28.315853,204,,GMCCA,PSKL,GMA00000008,PROCESSED,,,000387092,,,,e67e76d6-6217-403f-a8ac-480e4a2c6c0c,417068e3-3543-407d-a038-946ae788b4ef,6562b2d6-13d3-44fc-980d-a85f8d61321e,fe4adcca-de28-4c74-845d-1f3cd5d0e7bd,Y,2026-06-29 10:40:53.656887,750029,,204_GMCCA_GMA00000008_20260629144044468,GMCCA_204_2026-06-29.edi,,,
2026-06-29 10:41:00.394043,SHIPMENT-DETAILS,GMCCA,RXOMT,GMCCA,OGMA00001915,PROCESSED,Shipment processed successfully,,,,,,,8531b628-57bc-46a5-b05f-a89fbba75ad3,,,Y,,,,ShipmentDetails_2026-06-29 14:40:01.json,,,,
2026-06-29 10:41:00.394043,SHIPMENT-DETAILS,GMCCA,RXOMT,GMCCA,OGMA00001914,PROCESSED,Shipment processed successfully,,,,,,,8531b628-57bc-46a5-b05f-a89fbba75ad3,,,Y,,,,ShipmentDetails_2026-06-29 14:40:01.json,,,,
2026-06-29 10:33:21.011066,204,,GMCCA,PSKL,GMA00000008,PROCESSED,,,000387080,,,,f71e8fa5-fb58-460f-bfda-f7baff737739,efdb0156-9e87-4808-a346-e8da410fd97d,34ad963a-194f-4f65-ac2f-03229f30f348,d1a0efaf-3be6-485a-9c12-4e66f54a30aa,Y,2026-06-29 10:31:53.994078,750019,,204_GMCCA_GMA00000008_20260629143127917,GMCCA_204_2026-06-29.edi,,,
2026-06-29 09:47:41.613237,ITEM-MASTER,GMCCA,GMCCA,RXOMT,97824943,PROCESSED,"{""statusCode"":200,""message"":""Items successfully submitted"",""context"":[{""Key"":""Reference_ID"",""value"":""The Items has been submitted with Reference ID:19749617965704022""}]}",,,,,,,d450161c-7c4b-4cde-b804-23f1b91a4ec5,,,Y,,,,GM_ITEM_MASTER_2026-06-29 13:47:39.csv,,,,
